supersector_name,Chicago,New York,Philadelphia,Dallas
Education and Health Services,15.910897301819704,21.908264175321772,22.90873596876525,11.892428865394168
"Trade, Transportation, and Utilities",20.336749633967788,16.65556825523033,17.810313974296406,21.275337638070912
Professional and Business Services,17.707592553859026,16.478656263976543,16.216040344883684,18.479623453724074
Government,11.271700481070905,12.906624260796104,10.974459085732878,11.171030535253909
Leisure and Hospitality,9.813846475632712,9.174576355414203,8.888888888888888,10.016793207029496
Financial Activities,6.695252039322318,8.207523729066242,7.46705710102489,8.68043236595
Manufacturing,8.653001464128844,3.4716493564577853,5.918334146738246,7.268383831216443
"Mining, Logging, and Construction",3.8569336958795235,4.015305868906227,4.060517325524646,5.818491449655858
Other Services,4.103743986613679,4.044128609054316,4.005205791442981,3.2190922207242365
Information,1.650282367705501,3.1377031257764747,1.750447372702131,2.1783864329809126
