METFIPS,wfh_pct,NAME,msa_short_name
12420,64.85172383972618,"Austin-Round Rock-Georgetown, TX Metro Area",Austin
41860,62.87056202220346,"San Francisco-Oakland-Berkeley, CA Metro Area",San Francisco
41940,60.1265842976795,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose
47900,57.73188849635839,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington
37980,55.62741276106369,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia
16980,50.11488818845871,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",Chicago
35620,47.333238271643246,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",New York
19100,46.560814304597855,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas
31080,45.66590577263664,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles
1,44.75239082099105,United States,United States
26420,38.37837215398526,"Houston-The Woodlands-Sugar Land, TX Metro Area",Houston
