data_week,Austin,Chicago,Dallas,Houston,Los Angeles,New York,Philadelphia,San Francisco,San Jose,Washington,10 Metro Avg.
2024-08-28,60.3,48.1,58.5,60.625,46.975,44.45,40.2,42.575,40.15,42.625,48.45
2024-08-21,59.925,49.9,57.95,60.175,47.275000000000006,46.800000000000004,40.475,42.6,40.575,43.05,48.8725
2024-08-14,60.175,54.775,57.9,59.724999999999994,47.475,49,40.825,43.35,41.15,44.2,49.8575
2024-08-07,61.4,55.55,58,58.4,47.9,50.325,41.225,43.95,41.475,45.35,50.3575
2024-07-31,58.449999999999996,54.775,56.925,49.875,46.2,49.925000000000004,40.35,42.975,40.225,44.45,48.415
2024-07-24,57.74999999999999,52.975,56.2,49.3,44.8,48.425000000000004,39.525000000000006,42,38.5,43.7,47.3175
2024-07-17,58.199999999999996,52.85,56.45,49.725,44.575,48.6,39.475,41.775000000000006,38.225,44.075,47.395
2024-07-10,58.199999999999996,52.775,56.6,51.1,44.65,48.925000000000004,39.525,41.475,37.075,44.625,47.495
2024-07-03,61.974999999999994,54.6,58.25,60,46.625,50.800000000000004,40.65,42.925000000000004,37.65,47.1,50.0575
2024-06-26,63.12499999999999,56.8,58.85,60.975,48.25,53.025000000000006,41.975,44.300000000000004,38.875,48.95,51.5125
2024-06-19,62.37499999999999,56.225,56.2,60.125,48.2,52.2,41.900000000000006,43.62500000000001,38.075,48.625,50.755
2024-06-12,62.199999999999996,55.95,56.05,58.775,47.9,51.875,42,43.72500000000001,38.25,48.7,50.542500000000004
2024-06-05,61.9,55.525,55.825,58.75,47.625,51.300000000000004,41.800000000000004,43.85000000000001,38.475,48.35,50.34
2024-05-29,62.05,55.025,56.025,58.300000000000004,47.25,50.87500000000001,41.400000000000006,44.10000000000001,38.400000000000006,48.15,50.1575
2024-05-22,62.9,55.125,58.225,58.5,47.225,50.95,41.45,45,38.75,48.875,50.7
2024-05-15,63.6,55.15,58.15,59.575,47.150000000000006,50.175000000000004,41.45,45.325,39.15,48.95,50.8675
2024-05-08,64.775,55.15,58.45,59.125,47.125,50.150000000000006,41.925000000000004,45,40.025,49.1,51.0825
2024-05-01,63.875,54.95,58.025,58.85,47.125,49.725,42.300000000000004,44.025000000000006,40.225,49.075,50.8175
2024-04-24,63.425,53.8,57.95,58.075,46.425,48.875,41.825,43.025000000000006,40.425,47.775,50.16
