data_week,city,occupancy
2020-02-12,Washington,98.77
2020-02-12,New York,98.84
2020-02-12,Chicago,99.21
2020-02-12,Houston,98.95
2020-02-12,Philadelphia,99.12
2020-02-12,San Francisco,99.21
2020-02-12,Los Angeles,99.46
2020-02-12,Dallas,99.7
2020-02-12,San Jose,98.68
2020-02-12,Austin,98.57
2020-02-19,Washington,96.73
2020-02-19,New York,94.3
2020-02-19,Chicago,96.02
2020-02-19,Houston,97.76
2020-02-19,Philadelphia,99.07
2020-02-19,San Francisco,94.8
2020-02-19,Los Angeles,97.58
2020-02-19,Dallas,97.9
2020-02-19,San Jose,97.08
2020-02-19,Austin,99.69
2020-02-26,Washington,98.81
2020-02-26,New York,96.84
2020-02-26,Chicago,98.38
2020-02-26,Houston,98.51
2020-02-26,Philadelphia,101.28
2020-02-26,San Francisco,98.06
2020-02-26,Los Angeles,98.96
2020-02-26,Dallas,98.38
2020-02-26,San Jose,98.18
2020-02-26,Austin,101.77
2020-03-04,Washington,98.8
2020-03-04,New York,97.71
2020-03-04,Chicago,99.58
2020-03-04,Houston,98.46
2020-03-04,Philadelphia,101.08
2020-03-04,San Francisco,96.87
2020-03-04,Los Angeles,99.15
2020-03-04,Dallas,99.07
2020-03-04,San Jose,97.9
2020-03-04,Austin,101.75
2020-03-11,Washington,94.9
2020-03-11,New York,86.9
2020-03-11,Chicago,97.15
2020-03-11,Houston,94.92
2020-03-11,Philadelphia,98.3
2020-03-11,San Francisco,78.26
2020-03-11,Los Angeles,97.03
2020-03-11,Dallas,95.9
2020-03-11,San Jose,85.47
2020-03-11,Austin,95.14
2020-03-18,Washington,47.94
2020-03-18,New York,34.93
2020-03-18,Chicago,49.4
2020-03-18,Houston,66.19
2020-03-18,Philadelphia,54.52
2020-03-18,San Francisco,29.38
2020-03-18,Los Angeles,62.47
2020-03-18,Dallas,66.72
2020-03-18,San Jose,36.35
2020-03-18,Austin,54.83
2020-03-25,Washington,19.36
2020-03-25,New York,8.73
2020-03-25,Chicago,14.32
2020-03-25,Houston,33.44
2020-03-25,Philadelphia,20.51
2020-03-25,San Francisco,8.97
2020-03-25,Los Angeles,29.23
2020-03-25,Dallas,33.01
2020-03-25,San Jose,15.24
2020-03-25,Austin,26.34
2020-04-01,Washington,15.3
2020-04-01,New York,5.49
2020-04-01,Chicago,10.4
2020-04-01,Houston,23.82
2020-04-01,Philadelphia,17.11
2020-04-01,San Francisco,8.34
2020-04-01,Los Angeles,23.85
2020-04-01,Dallas,21.96
2020-04-01,San Jose,13.16
2020-04-01,Austin,22.46
2020-04-08,Washington,13.46
2020-04-08,New York,4.72
2020-04-08,Chicago,9.72
2020-04-08,Houston,23.4
2020-04-08,Philadelphia,15.33
2020-04-08,San Francisco,8.08
