series_id,year,period,value,footnote_codes,seas_adj,state_code,area_code,supersector_code,naics_code,industry_code,measure_code,date
SMU06310800000000001,2023,M13,6225.4,NA,U,06,31080,00,000000,00000000,01,NA
SMU06310800500000001,2023,M13,5481.9,NA,U,06,31080,05,000000,05000000,01,NA
SMU06310800600000001,2023,M13,733.3,NA,U,06,31080,06,000000,06000000,01,NA
SMU06310800700000001,2023,M13,5492.1,NA,U,06,31080,07,000000,07000000,01,NA
SMU06310800800000001,2023,M13,4748.5,NA,U,06,31080,08,000000,08000000,01,NA
SMU06310801000000001,2023,M13,2,NA,U,06,31080,10,000000,10000000,01,NA
SMU06310801500000001,2023,M13,257.6,NA,U,06,31080,15,000000,15000000,01,NA
SMU06310802000000001,2023,M13,255.7,NA,U,06,31080,20,000000,20000000,01,NA
SMU06310803000000001,2023,M13,475.7,NA,U,06,31080,30,000000,30000000,01,NA
SMU06310803100000001,2023,M13,308.5,NA,U,06,31080,31,000000,31000000,01,NA
SMU06310803200000001,2023,M13,167.2,NA,U,06,31080,32,000000,32000000,01,NA
SMU06310804000000001,2023,M13,1088.6,NA,U,06,31080,40,000000,40000000,01,NA
SMU06310804100000001,2023,M13,281.3,NA,U,06,31080,41,000000,41000000,01,NA
SMU06310804200000001,2023,M13,553.3,NA,U,06,31080,42,000000,42000000,01,NA
SMU06310804300000001,2023,M13,254,NA,U,06,31080,43,000000,43000000,01,NA
SMU06310805000000001,2023,M13,215.6,NA,U,06,31080,50,000000,50000000,01,NA
SMU06310805500000001,2023,M13,315.1,NA,U,06,31080,55,000000,55000000,01,NA
SMU06310806000000001,2023,M13,973.8,NA,U,06,31080,60,000000,60000000,01,NA
SMU06310806500000001,2023,M13,1178.8,NA,U,06,31080,65,000000,65000000,01,NA
SMU06310807000000001,2023,M13,763.6,NA,U,06,31080,70,000000,70000000,01,NA
SMU06310808000000001,2023,M13,213,NA,U,06,31080,80,000000,80000000,01,NA
SMU06310809000000001,2023,M13,743.5,NA,U,06,31080,90,000000,90000000,01,NA
SMU06418600000000001,2023,M13,2465.5,NA,U,06,41860,00,000000,00000000,01,NA
SMU06418600500000001,2023,M13,2146.1,NA,U,06,41860,05,000000,05000000,01,NA
SMU06418600600000001,2023,M13,275.9,NA,U,06,41860,06,000000,06000000,01,NA
