GEOID,NAME,variable,estimate,moe,summary_est,summary_moe
10140,"Aberdeen, WA Micro Area",wfh,NA,NA,NA,NA
10180,"Abilene, TX Metro Area",wfh,6624,1612,86363,3457
10300,"Adrian, MI Micro Area",wfh,NA,NA,NA,NA
10380,"Aguadilla-Isabela, PR Metro Area",wfh,NA,NA,NA,NA
10420,"Akron, OH Metro Area",wfh,53503,4337,347115,7164
10460,"Alamogordo, NM Micro Area",wfh,NA,NA,NA,NA
10500,"Albany, GA Metro Area",wfh,NA,NA,NA,NA
10540,"Albany-Lebanon, OR Metro Area",wfh,6876,1262,58920,2172
10580,"Albany-Schenectady-Troy, NY Metro Area",wfh,67746,3853,453936,6834
10700,"Albertville, AL Micro Area",wfh,NA,NA,NA,NA
10740,"Albuquerque, NM Metro Area",wfh,64381,4911,443433,7158
10780,"Alexandria, LA Metro Area",wfh,3766,1202,63991,2825
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",wfh,53130,3690,431634,7208
11020,"Altoona, PA Metro Area",wfh,NA,NA,NA,NA
11100,"Amarillo, TX Metro Area",wfh,9301,1925,129284,4066
11180,"Ames, IA Metro Area",wfh,6016,1150,69738,2543
11260,"Anchorage, AK Metro Area",wfh,23812,2352,200147,4404
11460,"Ann Arbor, MI Metro Area",wfh,41166,2688,182240,4336
11500,"Anniston-Oxford, AL Metro Area",wfh,NA,NA,NA,NA
11540,"Appleton, WI Metro Area",wfh,16680,1763,130465,2165
11640,"Arecibo, PR Metro Area",wfh,NA,NA,NA,NA
11700,"Asheville, NC Metro Area",wfh,33876,3645,220208,5629
11780,"Ashtabula, OH Micro Area",wfh,1820,554,41719,1992
11980,"Athens, TX Micro Area",wfh,NA,NA,NA,NA
12020,"Athens-Clarke County, GA Metro Area",wfh,11998,1755,104936,3973
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",wfh,659991,16406,3146828,17369
12100,"Atlantic City-Hammonton, NJ Metro Area",wfh,12787,1953,129408,3805
12180,"Auburn, NY Micro Area",wfh,NA,NA,NA,NA
12220,"Auburn-Opelika, AL Metro Area",wfh,NA,NA,NA,NA
12260,"Augusta-Richmond County, GA-SC Metro Area",wfh,27800,3738,279977,6214
12300,"Augusta-Waterville, ME Micro Area",wfh,NA,NA,NA,NA
12420,"Austin-Round Rock-Georgetown, TX Metro Area",wfh,374610,12970,1339570,12504
12540,"Bakersfield, CA Metro Area",wfh,25409,3354,366139,6897
12580,"Baltimore-Columbia-Towson, MD Metro Area",wfh,262005,10447,1448648,11045
12620,"Bangor, ME Metro Area",wfh,6972,1427,74569,2913
12660,"Baraboo, WI Micro Area",wfh,3614,717,33152,1136
12700,"Barnstable Town, MA Metro Area",wfh,15765,2431,111744,3181
12940,"Baton Rouge, LA Metro Area",wfh,30924,2945,410429,8693
12980,"Battle Creek, MI Metro Area",wfh,NA,NA,NA,NA
13020,"Bay City, MI Metro Area",wfh,NA,NA,NA,NA
13140,"Beaumont-Port Arthur, TX Metro Area",wfh,5315,1240,163314,4243
13180,"Beaver Dam, WI Micro Area",wfh,NA,NA,NA,NA
13220,"Beckley, WV Metro Area",wfh,NA,NA,NA,NA
13380,"Bellingham, WA Metro Area",wfh,18432,2513,116526,3491
13460,"Bend, OR Metro Area",wfh,24928,3230,103155,3643
13740,"Billings, MT Metro Area",wfh,7217,1834,99325,3033
13780,"Binghamton, NY Metro Area",wfh,9607,1490,111930,3543
13820,"Birmingham-Hoover, AL Metro Area",wfh,62270,5033,528830,6929
13900,"Bismarck, ND Metro Area",wfh,NA,NA,NA,NA
13980,"Blacksburg-Christiansburg, VA Metro Area",wfh,7384,1538,79029,3443
14010,"Bloomington, IL Metro Area",wfh,17984,2366,87375,3310
14020,"Bloomington, IN Metro Area",wfh,10933,1448,81869,2739
14100,"Bloomsburg-Berwick, PA Metro Area",wfh,NA,NA,NA,NA
14140,"Bluefield, WV-VA Micro Area",wfh,NA,NA,NA,NA
14260,"Boise City, ID Metro Area",wfh,68016,4933,401206,6515
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",wfh,547117,14243,2631810,15888
14500,"Boulder, CO Metro Area",wfh,57679,4033,180103,3933
14540,"Bowling Green, KY Metro Area",wfh,6572,1584,83567,3986
14580,"Bozeman, MT Micro Area",wfh,13218,1848,71511,2635
14660,"Brainerd, MN Micro Area",wfh,5113,879,44181,1721
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",wfh,18196,2266,132744,3357
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",wfh,93657,4921,484926,6320
